covariate,coef,se(coef),p,gene
MUC1,-0.21416925127254152,0.12740422761527698,0.09275873020117283,MUC1
CALML5,0.05699765970085451,0.11105888638125587,0.6077973237154735,CALML5
EMP1,0.47449635986764044,0.12149053917279194,9.398256798771008e-05,EMP1
HRH1,-0.020781181489493063,0.11488707206180017,0.8564589807465361,HRH1
MRAS,-0.3167767930852925,0.12385509764623445,0.010538502740225794,MRAS
PEBP4,-0.1023429707746334,0.13219931430053192,0.4388381938596905,PEBP4
PIP5K1B,0.05330068272458888,0.09315027971551461,0.5671858135881482,PIP5K1B
UGCG,-0.37772148773916026,0.14630679137662733,0.009831258392284123,UGCG
